TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0121,65,5,1220,7816,0,413,2,X,01,2015
1,0121,72,5,1220,11559,0,287,1,X,01,2015
1,0121,73,5,1220,4184,0,169,1,X,01,2015
1,0121,82,5,1220,2666,0,148,2,X,01,2015
1,0127,07,5,1220,5527,0,212,1,X,01,2015
1,0127,11,5,1220,7931,0,1232,1,X,01,2015
1,0127,12,5,1220,10733,0,404,1,X,01,2015
1,0127,27,5,1220,26341,0,1568,1,X,01,2015
1,0127,39,5,1220,56174,0,3996,1,X,01,2015
1,0127,48,5,1220,49713,0,6626,1,X,01,2015
1,0127,82,5,1220,14735,0,287,1,X,01,2015
1,0127,84,5,1220,19029,0,290,1,X,01,2015
1,0127,84,5,1220,14978,0,326,2,X,01,2015
1,0127,87,5,1220,20249,0,349,1,X,01,2015
1,0127,88,5,1220,6260,0,254,2,X,01,2015
1,0127,98,5,1220,28991,0,2752,1,X,01,2015
1,01XX,03,1,1220,894902,154914,19605,1,X,01,2015
1,01XX,15,3,1220,42460,30037,3712,1,X,01,2015
1,01XX,27,1,1220,55285021,177077840,7424,1,X,01,2015
1,01XX,30,3,1220,4945,1,148,2,X,01,2015
1,01XX,38,3,2010,21390,7,0,1,0,01,2015
1,01XX,39,3,1220,34862,281,0,1,X,01,2015
1,01XX,48,1,1220,68476,103992,6749,1,X,01,2015
1,01XX,71,3,1220,7626,1,149,1,X,01,2015
1,01XX,73,3,1220,3254,270,404,1,X,01,2015
1,01XX,84,3,1220,47740,555,1139,1,X,01,2015
1,01XX,84,3,1220,23774,1032,1185,2,X,01,2015
1,01XX,85,3,1220,66820,661,2515,1,X,01,2015
1,01XX,85,3,1220,147140,1145,2808,2,X,01,2015
1,01XX,85,3,2010,15000,40,0,2,0,01,2015
1,01XX,88,3,1220,58865949,54000,16496,1,X,01,2015
1,01XX,88,3,1220,10049,3,206,2,X,01,2015
1,01XX,90,3,1220,124645,413,1788,1,X,01,2015
1,01XX,90,3,1220,33020,102,360,2,X,01,2015
1,01XX,95,1,1220,39759,1620,1455,2,X,01,2015
1,01XX,97,3,1220,3402,2,268,2,X,01,2015
1,0201,48,5,1220,12280,0,499,1,X,01,2015
1,0203,23,5,1220,101086,0,3914,1,X,01,2015
1,0203,32,5,1220,68911,0,1603,1,X,01,2015
1,0203,33,5,1220,3775,0,112,1,X,01,2015
1,0203,39,5,1220,87756,0,1830,1,X,01,2015
1,0203,39,6,1220,259907,0,8862,1,X,01,2015
1,0203,44,5,1220,114474,0,12448,1,X,01,2015
1,0203,44,6,1220,13733,0,1736,1,X,01,2015
1,0203,82,5,1220,7281,0,163,2,X,01,2015
1,0203,84,5,1220,25477,0,315,1,X,01,2015
1,0203,84,5,1220,10218,0,126,2,X,01,2015
1,0203,87,5,1220,101817,0,4171,1,X,01,2015
1,0203,87,5,1220,135116,0,1230,2,X,01,2015
1,0206,44,5,1220,714100,0,56809,1,X,01,2015
1,0206,47,5,1220,24155,0,1851,1,X,01,2015
1,0206,84,5,1220,4284,0,127,1,X,01,2015
1,0206,87,5,1220,25553,0,989,1,X,01,2015
1,0206,92,5,1220,44003,0,169,1,X,01,2015
1,0207,18,5,1220,69236,0,1635,1,X,01,2015
1,0207,39,5,1220,25041,0,566,1,X,01,2015
1,0207,68,5,1220,222414,0,4352,1,X,01,2015
1,0207,84,5,1220,141602,0,3351,1,X,01,2015
1,0207,85,5,1220,6807,0,131,2,X,01,2015
1,0209,05,5,1220,4901,0,476,1,X,01,2015
1,0209,08,5,1220,12246,0,2602,1,X,01,2015
1,0209,12,5,1220,28982,0,567,1,X,01,2015
1,0209,15,5,1220,38406,0,2866,1,X,01,2015
1,0209,17,5,1220,45256,0,1107,1,X,01,2015
1,0209,18,5,1220,4844,0,176,1,X,01,2015
1,0209,19,5,1220,77591,0,7388,1,X,01,2015
1,0209,20,5,1220,49546,0,1576,1,X,01,2015
1,0209,21,5,1220,81569,0,2840,1,X,01,2015
1,0209,22,5,1220,21802,0,202,1,X,01,2015
1,0209,22,5,1220,24657,0,483,2,X,01,2015
1,0209,23,5,1220,57084,0,3580,1,X,01,2015
1,0209,25,5,1220,96380,0,5222,1,X,01,2015
1,0209,26,5,1220,10721,0,1431,1,X,01,2015
1,0209,27,5,1220,19883,0,1189,1,X,01,2015
1,0209,28,5,1220,37926,0,797,1,X,01,2015
1,0209,29,5,1220,144946,0,1628,1,X,01,2015
1,0209,29,5,1220,63640,0,1386,2,X,01,2015
1,0209,32,5,1220,80289,0,2365,1,X,01,2015
1,0209,32,5,1220,53504,0,549,2,X,01,2015
1,0209,33,5,1220,88626,0,1568,1,X,01,2015
1,0209,33,5,1220,6787,0,132,2,X,01,2015
1,0209,34,5,1220,78868,0,324,1,X,01,2015
1,0209,35,5,1220,34750,0,4059,1,X,01,2015
1,0209,35,6,1220,193095,0,3298,1,X,01,2015
1,0209,36,5,1220,151944,0,978,1,X,01,2015
1,0209,37,5,1220,10169,0,802,1,X,01,2015
